filename,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12
images/2026-02-17_09-03-08_Entropia_DUf5iS.png,7636,3489,2976,2496,2382,2379,1429,1396,455,274,273,154
images/2026-02-17_09-51-49_Entropia_GU2Ujz.png,4518,4327,4316,4191,4080,4053,3938,3916,3723,3512,3489,3435
images/2026-02-24_19-32-56_Entropia_EgxsBy.png,72,4579,2894,2079,7028,2303,119,9,14,3293,100,2035
images/2026-02-24_23-54-12_Entropia_sarDtt.png,2496,11,2011,3489,1,13,2486,2159,2,1,2715,1
images/2026-02-25_00-07-25_Entropia_wdrUwx.png,4983,1,2,1,5067,1,109
images/2026-02-25_00-09-34_Entropia_jgW4ZT.png,4582,2643,4053,1,3,2,1,15,33,1,2782,1
images/2026-02-25_00-12-40_Entropia_7ZcKVn.png,3020,5896,4537,1000,6,7200,23,2438,3,1609,4,1212
images/2026-02-25_00-14-58_Entropia_iHuH3E.png,72,4579,2894,2079,7028,2303,119,9,14,3293,100,2035
images/2026-02-25_00-38-14_Entropia_cLNNV9.png,72,4579,2894,2079,7028,2303,119,9,14,3293,100,2035
images/2026-02-25_00-47-33_Entropia_kHeECW.png,72,4579,2894,2079,7028,2303,119,9,14,3293,100,2035
images/2026-02-25_00-59-01_Entropia_3p8sJi.png,72,4579,2894,2079,7028,2303,119,9,14,3293,100,2035
images/2026-02-25_01-07-03_Entropia_35UFCt.png,2496,11,2011,3489,1,13,2486,2159,2,1,2715,1
images/2026-02-25_01-10-36_Entropia_kiUUuU.png,2496,11,2011,3489,1,13,2486,2159,2,1,2715,1
images/2026-02-25_01-10-48_Entropia_GGAGsG.png,2496,11,2011,3489,1,13,2486,2159,2,1,2715,1
images/2026-02-25_01-10-59_Entropia_yz64GR.png,2496,11,2011,3489,1,13,2486,2159,2,1,2715,1
images/2026-02-25_01-11-07_Entropia_E7aJwz.png,2496,11,2011,3489,1,13,2486,2159,2,1,2715,1
images/2026-02-25_01-11-15_Entropia_EEHYyD.png,2496,11,2011,3489,1,13,2486,2159,2,1,2715,1
images/2026-02-25_01-11-21_Entropia_CUyr5u.png,2496,11,2011,3489,1,13,2486,2159,2,1,2715,1
images/2026-02-25_01-11-29_Entropia_cWHawt.png,2496,11,2011,3489,1,13,2486,2159,2,1,2715,1
images/2026-02-25_01-11-36_Entropia_KG39Zb.png,2496,11,2011,3489,1,13,2486,2159,2,1,2715,1
images/2026-02-25_01-11-42_Entropia_iAEJm5.png,2496,11,2011,3489,1,13,2486,2159,2,1,2715,1
images/2026-02-25_01-11-59_Entropia_RPzWHj.png,2496,11,2011,3489,1,13,2486,2159,2,1,2715,1
images/2026-02-25_01-12-17_Entropia_TW7Ec3.png,2496,11,2011,3489,1,13,2486,2159,2,1,2715,1
images/2026-02-25_01-14-23_Entropia_CYPMHQ.png,3020,5896,4537,1000,6,7200,23,2438,3
images/2026-02-25_01-14-36_Entropia_6iYYSn.png,3020,5896,4537,1000,6,7200,23,2438,3,1609,4
images/2026-02-25_01-20-16_Entropia_CKSMtj.png,9,9,11,13,14,15,15,16,18,20,23,24
images/2026-02-25_01-33-23_Entropia_PhjdMd.png,154,166,169,186,203,216,260,262,273,274,316,391
images/2026-02-25_02-11-03_Entropia_2B3FCQ.png,1988,2011,2035,2057,2079,2159,2303,2328,2379,2382,2412,2428
images/2026-02-25_09-09-44_Entropia_cYw8cd.png,72,4579,2894,2079,7028,2303,119,9,14,3293,100,2035
